,Company Name,Sector Name,Link
1,Grindwell Norto,Abrasives,https://www.moneycontrol.com//india/stockpricequote/abrasives/grindwellnorton/GN
2,Carborundum,Abrasives,https://www.moneycontrol.com//india/stockpricequote/abrasives/carborundumuniversal/CU
3,Wendt,Abrasives,https://www.moneycontrol.com//india/stockpricequote/abrasives/wendtindia/WI05
4,Hindustan Aeron,Aerospace & Defence,https://www.moneycontrol.com//india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
5,Taneja Aerospac,Aerospace & Defence,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/tanejaaerospaceaviation/TAA
6,TAAL Enterprise,Aerospace & Defence,https://www.moneycontrol.com//india/stockpricequote/transportlogistics/taalenterprises/TAA01
7,Bombay Burmah,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
8,Kaveri Seed,Agriculture,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01
9,Nath Bio-Genes,Agriculture,https://www.moneycontrol.com//india/stockpricequote/pharmaceuticals/nathbiogenes/NBG
10,Goodricke Group,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/goodrickegroup/GG02
11,JK Agri Genetic,Agriculture,https://www.moneycontrol.com//india/stockpricequote/fertilisers/jkagrigenetics/JKA03
12,Harrisons Malay,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/harrisonsmalyalam/HM02
13,Dhunseri Tea,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/dhunseriteaindustries/DTI03
14,Mangalam Seeds,Agriculture,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/mangalamseeds/MS18
15,Joonktollee Tea,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/joonktolleeteaindustries/JTI03
16,Agri-Tech,Agriculture,https://www.moneycontrol.com//india/stockpricequote/fertilisers/agritechindia/ATI02
17,Diana Tea,Agriculture,https://www.moneycontrol.com//india/stockpricequote/plantationsteacoffee/dianateacompany/DTC
18,Transchem,Agriculture,https://www.moneycontrol.com//india/stockpricequote/pharmaceuticals/transchem/T03
19,Nagarjuna Ag,Agriculture,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/nagarjunaagritech/NA03
20,Kanel Ind,Agriculture,https://www.moneycontrol.com//india/stockpricequote/edibleoilssolventextraction/kanelindustries/KOE02
21,Voltas,Air Conditioners,https://www.moneycontrol.com//india/stockpricequote/diversified/voltas/V
22,Johnson Control,Air Conditioners,https://www.moneycontrol.com//india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
23,Amber Enterpris,Air Conditioners,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
24,Blue Star,Air Conditioners,https://www.moneycontrol.com//india/stockpricequote/consumergoodswhitegoods/bluestar/BS
25,Interglobe Avi,Airlines,https://www.moneycontrol.com//india/stockpricequote/transportlogistics/interglobeaviation/IA04
26,SpiceJet,Airlines,https://www.moneycontrol.com//india/stockpricequote/transportlogistics/spicejet/SJ01
27,Jet Airways,Airlines,https://www.moneycontrol.com//india/stockpricequote/transportlogistics/jetairways/JA01
28,Global Vectra,Airlines,https://www.moneycontrol.com//india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH
29,NALCO,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
30,Manaksia Alumin,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/manaksiaaluminiumcompany/MAC03
31,Arfin India,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/metalsnonferrous/arfinindia/AI70
32,PG Foils,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/pgfoils/PGF
33,Century Extr,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/centuryextrusions/CE02
34,Maan Aluminium,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/maanaluminium/MA03
35,Sacheta Metals,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/sachetametals/SM12
36,Hind Aluminium,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/hindaluminiumindustries/HAI
37,Hardwyn,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/garvindustries/GI34
38,Sudal Ind,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/aluminium/sudalindustries/SI58
39,Universal Prime,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/trading/universalprimealuminium/UPA
40,Galada Telecom,Aluminium & Aluminium Products,https://www.moneycontrol.com//india/stockpricequote/cablespowerothers/galadapowertelecommunications/GPT
41,Wonderla,Amusement Parks/Recreation/Club,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/wonderlaholidays/WH01
42,Nicco Parks,Amusement Parks/Recreation/Club,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/niccoparkresorts/NPR01
43,Hanman Fit,Amusement Parks/Recreation/Club,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/powerhousegymwellness/PFA01
44,Avanti Feeds,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/aquaculture/avantifeeds/AF21
45,Apex Frozen,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/foodprocessing/apexfrozenfoods/AFF
46,Waterbase,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/aquaculture/waterbase/W04
47,Coastal Corp,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/aquaculture/coastaltrawlers/CTL
48,Zeal Aqua ,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/aquaculture/zealaqua/ZA
49,Shantanu Sheo,Aquaculture,https://www.moneycontrol.com//india/stockpricequote/aquaculture/shantanusheoreyaqua/SSA02
50,Varroc Engineer,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/engineeringheavy/varrocengineering/VE08
51,Enkei Wheels,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/enkeiwheelsindia/EWI
52,Rane Brake,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/ranebrakelinings/RBL01
53,GNA Axles,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/gnaaxles/A03
54,Pricol,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/pricol/P9
55,Rajratan Global,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/rajratanglobalwire/RGW01
56,Frontier Spring,Auto Ancillaries,https://www.moneycontrol.com//india/stockpricequote/autoancillaries/frontiersprings/FS02
