Date,Open,High,Low,Close,Adj Close,Volume
2012-03-09,1408.000000,1428.550049,1282.199951,1296.699951,1102.040527,7941567
2012-03-12,1295.949951,1329.900024,1212.250000,1234.050049,1048.795532,2970274
2012-03-13,1234.000000,1308.500000,1234.000000,1293.150024,1099.023438,2523025
2012-03-14,1298.800049,1329.000000,1263.099976,1272.599976,1081.558472,2198401
2012-03-15,1272.000000,1284.000000,1257.000000,1268.050049,1077.691650,571247
2012-03-16,1272.000000,1325.000000,1242.849976,1297.199951,1102.465332,1631266
2012-03-19,1270.000000,1310.000000,1264.000000,1295.250000,1100.808228,575324
2012-03-20,1291.300049,1303.000000,1271.199951,1279.300049,1087.252563,214823
2012-03-21,1277.800049,1294.000000,1262.099976,1287.250000,1094.009155,186596
2012-03-22,1277.000000,1294.699951,1253.849976,1258.500000,1069.574951,162355
2012-03-23,1264.000000,1283.199951,1239.949951,1248.650024,1061.203491,230145
2012-03-26,1247.000000,1265.000000,1246.050049,1259.400024,1070.339966,198871
2012-03-27,1262.050049,1290.000000,1250.050049,1257.500000,1068.725220,103574
2012-03-28,1257.500000,1260.000000,1231.400024,1238.099976,1052.237427,149912
2012-03-29,1238.000000,1254.800049,1234.150024,1249.750000,1062.138550,94140
2012-03-30,1254.500000,1280.650024,1247.650024,1270.250000,1079.561157,126223
2012-04-02,1276.349976,1316.000000,1269.849976,1306.650024,1110.496826,385598
2012-04-03,1314.000000,1323.750000,1300.349976,1308.099976,1111.729126,246259
2012-04-04,1305.000000,1308.000000,1282.250000,1291.900024,1097.961060,96759
2012-04-09,1287.949951,1288.000000,1260.150024,1263.550049,1073.866943,64166
2012-04-10,1265.250000,1272.000000,1248.650024,1257.199951,1068.470093,145577
2012-04-11,1262.000000,1294.949951,1255.099976,1270.750000,1079.986084,378709
2012-04-12,1274.699951,1288.599976,1261.000000,1265.650024,1075.651611,150628
2012-04-13,1270.599976,1272.500000,1241.000000,1246.500000,1059.376465,140467
2012-04-16,1250.000000,1270.000000,1243.150024,1263.949951,1074.206909,90027
2012-04-17,1270.000000,1280.000000,1262.050049,1269.650024,1079.051270,190928
2012-04-18,1273.550049,1278.000000,1259.000000,1265.949951,1075.906494,107360
2012-04-19,1266.900024,1269.900024,1258.099976,1260.699951,1071.444702,65153
2012-04-20,1262.699951,1263.650024,1245.000000,1249.500000,1061.926147,87381
2012-04-23,1236.099976,1254.949951,1201.099976,1213.500000,1031.330444,96686
2012-04-24,1201.199951,1226.000000,1201.199951,1213.449951,1031.287842,149867
2012-04-25,1202.099976,1227.000000,1196.099976,1200.500000,1020.281982,124153
2012-04-26,1198.000000,1198.000000,1151.900024,1166.099976,1006.131775,114835
2012-04-27,1152.050049,1172.000000,1102.000000,1111.050049,958.633667,158682
2012-04-30,1136.000000,1142.300049,1090.150024,1094.550049,944.397156,141946
2012-05-02,1100.099976,1120.000000,1100.000000,1109.900024,957.641479,181491
2012-05-03,1119.000000,1129.000000,1055.000000,1057.650024,912.559204,261178
2012-05-04,1055.050049,1061.849976,1007.000000,1011.650024,872.869568,298706
2012-05-07,1005.150024,1038.000000,980.000000,1029.599976,888.357056,137919
2012-05-08,1029.550049,1042.500000,1017.150024,1021.349976,881.238831,82846
2012-05-09,1020.000000,1037.000000,1015.049988,1032.099976,890.514038,90639
2012-05-10,1036.199951,1049.900024,1028.000000,1032.250000,890.643616,47096
2012-05-11,1031.400024,1033.500000,1000.000000,1004.500000,866.700317,44853
2012-05-14,1008.700012,1016.950012,995.000000,1002.299988,864.802124,88792
2012-05-15,997.000000,1005.000000,980.000000,999.150024,862.084351,74602
2012-05-16,994.799988,996.700012,978.700012,984.000000,849.012573,96969
2012-05-17,988.849976,998.500000,960.599976,964.299988,832.015259,102415
2012-05-18,959.950012,960.000000,940.000000,946.299988,816.484375,137655
2012-05-21,947.000000,958.400024,931.200012,934.700012,806.475708,46774
