Date,Open,High,Low,Close,Volume,Open Interest
2018-09-05,30257.0,30494.0,30250.0,30230.0,47.0,49.0
2018-09-04,30238.0,30300.0,30154.0,30221.0,173.0,177.0
2018-08-30,30110.0,30269.0,30082.0,30131.0,6305.0,2856.0
2018-08-29,29977.0,30168.0,29977.0,30144.0,6077.0,3906.0
2018-08-28,30015.0,30170.0,29951.0,29981.0,6777.0,4495.0
2018-08-24,29550.0,29900.0,29550.0,29882.0,9032.0,5341.0
2018-08-23,29666.0,29666.0,29490.0,29576.0,5978.0,6238.0
2018-08-22,29450.0,29733.0,29450.0,29627.0,4607.0,6675.0
2018-08-21,29460.0,29565.0,29436.0,29542.0,6265.0,6885.0
2018-08-20,29388.0,29459.0,29350.0,29435.0,5656.0,7479.0
2018-08-17,29291.0,29375.0,29184.0,29275.0,5997.0,8373.0
2018-08-16,29615.0,29615.0,29222.0,29275.0,10272.0,8525.0
2018-08-14,29665.0,29740.0,29575.0,29664.0,4990.0,7750.0
2018-08-13,29750.0,29836.0,29644.0,29665.0,7723.0,7894.0
2018-08-09,29565.0,29665.0,29529.0,29605.0,5580.0,8676.0
2018-08-08,29560.0,29630.0,29500.0,29544.0,6447.0,8877.0
2018-08-07,29604.0,29668.0,29520.0,29534.0,5978.0,8892.0
2018-08-06,29656.0,29656.0,29538.0,29563.0,4016.0,8551.0
2018-08-03,29535.0,29689.0,29468.0,29612.0,6963.0,8365.0
2018-08-02,29611.0,29719.0,29540.0,29556.0,5055.0,8437.0
2018-08-01,29770.0,29834.0,29585.0,29607.0,6836.0,8103.0
2018-07-31,29815.0,29868.0,29655.0,29789.0,8446.0,6711.0
2018-07-30,29870.0,29871.0,29785.0,29857.0,3276.0,4766.0
2018-07-27,29860.0,29907.0,29718.0,29868.0,2461.0,3479.0
2018-07-26,29989.0,30036.0,29875.0,29898.0,1573.0,2829.0
2018-07-25,29975.0,30120.0,29967.0,30036.0,1425.0,2240.0
2018-07-24,29938.0,30065.0,29892.0,30018.0,915.0,1792.0
2018-07-23,30070.0,30122.0,29974.0,30021.0,780.0,1674.0
2018-07-20,29919.0,30066.0,29895.0,30057.0,824.0,1612.0
2018-07-19,29916.0,30076.0,29815.0,30030.0,831.0,1524.0
2018-07-18,29886.0,29926.0,29796.0,29911.0,589.0,1512.0
2018-07-17,30201.0,30240.0,29859.0,29878.0,1163.0,1358.0
2018-07-16,30341.0,30370.0,30211.0,30230.0,361.0,1051.0
2018-07-13,30321.0,30345.0,30180.0,30281.0,516.0,1052.0
2018-07-12,30452.0,30452.0,30310.0,30325.0,545.0,972.0
2018-07-11,30636.0,30668.0,30481.0,30504.0,469.0,829.0
2018-07-10,30792.0,30814.0,30585.0,30684.0,500.0,680.0
2018-07-09,30779.0,30916.0,30760.0,30775.0,464.0,643.0
2018-07-06,30769.0,30860.0,30715.0,30728.0,395.0,642.0
2018-07-05,30780.0,30845.0,30695.0,30802.0,359.0,662.0
2018-07-04,30691.0,30775.0,30688.0,30763.0,334.0,630.0
2018-07-03,30541.0,30700.0,30420.0,30645.0,825.0,616.0
2018-07-02,30566.0,30685.0,30456.0,30500.0,486.0,504.0
2018-06-29,30650.0,30675.0,30540.0,30588.0,281.0,389.0
2018-06-28,30860.0,30870.0,30666.0,30697.0,191.0,352.0
2018-06-27,30682.0,31095.0,30653.0,30893.0,170.0,336.0
2018-06-26,30779.0,30784.0,30622.0,30714.0,179.0,337.0
2018-06-25,30802.0,30880.0,30787.0,30817.0,35.0,300.0
2018-06-22,30717.0,30821.0,30717.0,30762.0,59.0,295.0
2018-06-21,30906.0,30908.0,30690.0,30764.0,223.0,294.0
2018-06-20,31060.0,31060.0,30955.0,30999.0,105.0,263.0
2018-06-19,31225.0,31265.0,31065.0,31076.0,67.0,238.0
2018-06-18,31150.0,31206.0,31117.0,31157.0,69.0,219.0
2018-06-15,31549.0,31556.0,31164.0,31204.0,175.0,194.0
2018-06-14,31335.0,31526.0,31335.0,31492.0,100.0,146.0
2018-06-13,31270.0,31315.0,31270.0,31291.0,17.0,112.0
2018-06-12,31268.0,31324.0,31261.0,31311.0,37.0,103.0
2018-06-11,31342.0,31355.0,31220.0,31325.0,61.0,81.0
2018-06-07,31082.0,31324.0,31073.0,31271.0,39.0,25.0
2018-06-06,31082.0,31127.0,30957.0,31052.0,27.0,13.0
