,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
0,20 Microns Ltd.,,20MICRONS,,https://money.rediff.com/companies/20-Microns-Ltd/15110088,
1,3i Infotech Ltd.,,3IINFOTECH,,https://money.rediff.com/companies/3i-Infotech-Ltd/13190098,
2,3M India Ltd.,,3MINDIA,,https://money.rediff.com/companies/3M-India-Ltd/17010019,
3,3P Land Holdings Ltd.,,3PLAND,,https://money.rediff.com/companies/3P-Land-Holdings-Ltd/11070110,
4,3rd Rock Multimedia Ltd.,,3RDROCKIT,,https://money.rediff.com/companies/3rd-Rock-Multimedia-Ltd/17040841,
5,5Paisa Capital Ltd.,,5PAISA,,https://money.rediff.com/companies/5Paisa-Capital-Ltd/14010689,
6,63 Moons Technologies Ltd.,,63MOONSBE,,https://money.rediff.com/companies/63-Moons-Technologies-Ltd/13030007,
7,8K Miles Software Services Ltd.,,8KMILESBZ,,https://money.rediff.com/companies/8K-Miles-Software-Services-Ltd/17020538,
8,A and M Jumbo Bags Ltd.,,AMJUMBOSM,,https://money.rediff.com/companies/A-and-M-Jumbo-Bags-Ltd/14620205,
9,A2Z Infra Engineering Ltd.,,A2ZINFRA,,https://money.rediff.com/companies/A2Z-Infra-Engineering-Ltd/13520357,
10,Aafloat Textiles (India) Ltd.,,AKAIMPEXBE,,https://money.rediff.com/companies/Aafloat-Textiles-India-Ltd/17010051,
11,Aakash Exploration Services Ltd.,,AAKASHSM,,https://money.rediff.com/companies/Aakash-Exploration-Services-Ltd/15120088,
12,Aaron Industries Ltd.,,AARONSM,,https://money.rediff.com/companies/Aaron-Industries-Ltd/13150263,
13,Aarti Drugs Ltd.,,AARTIDRUGS,,https://money.rediff.com/companies/Aarti-Drugs-Ltd/12540082,
14,Aarti Industries Ltd.,,AARTIIND,,https://money.rediff.com/companies/Aarti-Industries-Ltd/12070021,
15,Aarti Surfactants Ltd.,,AARTISURFBE,,https://money.rediff.com/companies/Aarti-Surfactants-Ltd/12060130,
16,Aarvee Denims and Exports Ltd.,,AARVEEDENBE,,https://money.rediff.com/companies/Aarvee-Denims-and-Exports-Ltd/16110001,
17,Aarvi Encon Ltd.,,AARVI,,https://money.rediff.com/companies/Aarvi-Encon-Ltd/16690586,
18,Aavas Financiers Ltd.,,AAVAS,,https://money.rediff.com/companies/Aavas-Financiers-Ltd/14080119,
19,AB Infrabuild Ltd.,,ABINFRASM,,https://money.rediff.com/companies/AB-Infrabuild-Ltd/11623457,
20,Aban Offshore Ltd.,,ABAN,,https://money.rediff.com/companies/Aban-Offshore-Ltd/15120001,
21,ABB India Ltd.,,ABB,,https://money.rediff.com/companies/ABB-India-Ltd/13130003,
22,ABB Power Products and Systems India Ltd.,,POWERINDIA,,https://money.rediff.com/companies/ABB-Power-Products-and-Systems-India-Ltd/13130037,
23,Abbott India Ltd.,,ABBOTINDIA,,https://money.rediff.com/companies/Abbott-India-Ltd/12540008,
24,ABC Bearings Ltd.,,ANTFRIBEARBE,,https://money.rediff.com/companies/ABC-Bearings-Ltd/14510001,
25,ABG Shipyard Ltd.,,ABGSHIPBZ,,https://money.rediff.com/companies/ABG-Shipyard-Ltd/16680013,
26,Abhishek Corporation Ltd.,,ABHISHEK,,https://money.rediff.com/companies/Abhishek-Corporation-Ltd/17010091,
27,ABM International Ltd.,,ABMINTLTDBE,,https://money.rediff.com/companies/ABM-International-Ltd/17023960,
28,ABN Intercorp Ltd.,,ABNINTIT,,https://money.rediff.com/companies/ABN-Intercorp-Ltd/14094445,
29,ACC Ltd.,,ACC,,https://money.rediff.com/companies/ACC-Ltd/11510001,
30,Accelya Solutions India Ltd.,,ACCELYA,,https://money.rediff.com/companies/Accelya-Solutions-India-Ltd/13020092,
31,Accord Synergy Ltd.,,ACCORDSM,,https://money.rediff.com/companies/Accord-Synergy-Ltd/15200344,
32,Accuracy Shipping Ltd.,,ACCURACYSM,,https://money.rediff.com/companies/Accuracy-Shipping-Ltd/16580140,
33,Ace Integrated Solutions Ltd.,,ACEINTEGSM,,https://money.rediff.com/companies/Ace-Integrated-Solutions-Ltd/13192574,
34,ACE Laboratories Ltd.,,ACELABBE,,https://money.rediff.com/companies/ACE-Laboratories-Ltd/12540083,
35,Acropetal Technologies Ltd.,,ACROPETALBZ,,https://money.rediff.com/companies/Acropetal-Technologies-Ltd/13191577,
36,Action Construction Equipment Ltd.,,ACE,,https://money.rediff.com/companies/Action-Construction-Equipment-Ltd/13510065,
37,Adani Enterprises Ltd.,,ADANIENT,,https://money.rediff.com/companies/Adani-Enterprises-Ltd/16610041,
